Title,Genres,Difficulty,AI Reasoning
"Rebel Without a Cause","Drama","Easy Mode","The definitive James Dean film that became a symbol of teenage disillusionment and is historically significant."
"Gone Baby Gone","Crime, Drama, Mystery, Thriller","Hard Mode","A well-reviewed crime thriller that launched Ben Affleck's directing career but remains a more niche title."
"The Royal Tenenbaums","Comedy, Drama","Easy Mode","A highly recognizable Wes Anderson film with a distinct visual style and an ensemble of A-list actors."
"The Skin I Live In","Drama, Horror, Thriller","Impossible Mode","An Almodovar film from Spain; while critically acclaimed, its reach is largely limited to fans of international art-house cinema."
"True Grit","Western, Drama, Adventure","Easy Mode","A widely recognized story, popular both as a classic John Wayne Western and a successful Coen Brothers remake."
"Eastern Promises","Crime, Drama, Thriller","Impossible Mode","A David Cronenberg thriller known for its intensity and cult status, but lacks widespread mainstream recognition."
"The Road Warrior","Action, Adventure, Sci-Fi, Thriller","Hard Mode","A cult classic sequel that, while highly influential, is less of a household name than the Mad Max: Fury Road entry or the original franchise title."
"Mulan","Animation, Adventure, Family","Easy Mode","A global Disney staple with both a classic animated version and a high-budget live-action remake known worldwide."
"Traffic","Crime, Drama, Thriller","Hard Mode","An Academy Award-winning drama with significant prestige but lower recognition among general audiences compared to blockbusters."
"The Peanut Butter Falcon","Adventure, Comedy, Drama","Impossible Mode","A critically acclaimed independent film with a niche following and much lower global market penetration."
"The Raid: Redemption","Action, Crime, Thriller","Impossible Mode","A highly regarded Indonesian martial arts film that is primarily recognized by genre enthusiasts rather than the general global public."
"The Blind Side","Biography, Drama, Sport","Easy Mode","A massive commercial success and Oscar winner that became a pop-culture touchstone in the late 2000s."
"Thelma & Louise","Adventure, Crime, Drama","Hard Mode","An iconic feminist road movie that remains famous in film history but has moved into niche status for younger generations."
"The Naked Gun: From the Files of Police Squad!","Comedy, Crime","Hard Mode","A legendary comedy classic that is widely cited by fans of the genre but may be less familiar to modern international audiences."
"Rise of the Planet of the Apes","Sci-Fi, Action, Drama","Easy Mode","A major tentpole release within a multi-billion dollar franchise with widespread global recognition."
"Despicable Me","Animation, Adventure, Comedy, Family","Easy Mode","The cornerstone of a massive global franchise that includes the Minions, making it one of the most recognizable brands in modern cinema."
"Incredibles 2","Animation, Action, Adventure, Family, Sci-Fi","Easy Mode","A massive Pixar sequel that remains one of the highest-grossing animated films of all time."
"Snow White and the Seven Dwarfs","Animation, Family, Fantasy","Easy Mode","The first full-length cel-animated feature film and a cornerstone of global cinematic history."
"After Hours","Comedy, Crime, Drama","Impossible Mode","An obscure dark comedy from Martin Scorsese that is considered a hidden gem even among many movie fans."
"Dark Waters","Biography, Drama, History, Thriller","Impossible Mode","A relatively recent legal thriller that lacks the widespread recognition of major studio tentpoles."
"Freedom Writers","Biography, Drama, Crime","Hard Mode","Recognized primarily in educational contexts and niche drama circles rather than as a universal blockbuster."
"Rushmore","Comedy, Drama","Hard Mode","A cult favorite directed by Wes Anderson that is highly regarded by film buffs but less known to the general public."
"Dawn of the Planet of the Apes","Action, Adventure, Drama, Sci-Fi","Easy Mode","Part of a major modern blockbuster franchise with significant international marketing and box office reach."
"Die Hard with a Vengeance","Action, Thriller, Crime","Easy Mode","A well-known entry in a definitive action franchise starring Bruce Willis."
"Breakfast at Tiffany's","Comedy, Romance, Drama","Easy Mode","A legendary classic with iconic imagery that has permeated global fashion and pop culture."
"United 93","Drama, History, Thriller","Hard Mode","A critically acclaimed historical drama that appeals to a mature audience but is not a household name globally."
"Match Point","Drama, Romance, Thriller, Crime","Hard Mode","A well-known Woody Allen thriller, but predominantly recognized by drama enthusiasts rather than a general global audience."
"Creed","Sports, Drama","Easy Mode","A massive global success as a continuation of the iconic Rocky franchise."
"Enter the Dragon","Action, Crime, Thriller","Easy Mode","One of the most famous martial arts films in history, cementing Bruce Lee's global legacy."
"Lord of War","Crime, Drama, Thriller","Hard Mode","A cult classic featuring Nicolas Cage that is well-regarded but lacks the universal status of a blockbuster."
"The Jungle Book","Adventure, Drama, Family, Fantasy","Easy Mode","A worldwide Disney staple that has been part of global popular culture for decades."
"Seven Pounds","Drama, Romance","Hard Mode","A successful Will Smith drama that, while commercially viable, is not a household name like his action films."
"The Florida Project","Drama","Impossible Mode","An acclaimed independent film that remains largely unknown to mainstream audiences outside of cinema enthusiast circles."
"The Mitchells vs. the Machines","Animation, Adventure, Comedy, Sci-Fi","Hard Mode","A popular modern animated hit on streaming, but it lacks the long-term historical recognition of legacy animation."
"Fallen Angels","Crime, Drama, Romance","Impossible Mode","A niche Hong Kong art-house classic directed by Wong Kar-wai, typically only known to film buffs."
"Only the Brave","Action, Biography, Drama","Impossible Mode","A biographical drama that received critical praise but had a very limited impact on the global cultural consciousness."
"Ponyo","Animation, Adventure, Family, Fantasy","Easy Mode","A highly popular and globally recognized animated film from Studio Ghibli directed by Hayao Miyazaki."
"50/50","Comedy, Drama","Hard Mode","A successful independent dramedy that, while critically acclaimed, lacks the massive global reach of blockbusters."
"The Last King of Scotland","Biography, Drama, History, Thriller","Hard Mode","A prominent historical drama famous for Forest Whitaker's Oscar win but considered a more specialized viewing choice."
"Drive My Car","Drama","Hard Mode","A critically acclaimed Japanese international feature that gained fame through the Academy Awards but remains niche for general audiences."
"Lethal Weapon","Action, Crime, Thriller","Easy Mode","An iconic 1980s action franchise that is widely recognized as a staple of the genre worldwide."
"Hotel Mumbai","Action, Drama, History, Thriller","Hard Mode","A specific historical drama based on true events that received international attention but is not a household name."
"Planes, Trains & Automobiles","Comedy, Drama","Easy Mode","A beloved holiday comedy classic starring Steve Martin and John Candy with high cultural recognition."
"Burning Days","Drama, Thriller, Crime","Impossible Mode","A niche Turkish political thriller that, despite festival success, has very limited global mainstream visibility."
"Running on Empty","Drama, Crime, Music","Impossible Mode","A 1988 Sidney Lumet film that is well-regarded by cinephiles but remains largely unknown to the general public today."
"21 Grams","Crime, Drama, Thriller","Hard Mode","An acclaimed early film from director Alejandro González Iñárritu known to film enthusiasts but less to the general public."
"Dead Man's Shoes","Crime, Drama, Thriller","Hard Mode","A cult British thriller highly regarded by cinephiles but lacking broad global mainstream recognition."
"Repulsion","Horror, Psychological Thriller","Hard Mode","A classic psychological horror by Roman Polanski, well-known among film buffs but niche for general audiences."
"Mysterious Skin","Drama, Mystery","Hard Mode","An acclaimed independent drama with a dedicated following, though its heavy subject matter keeps it from the mainstream."
"Sabrina","Comedy, Drama, Romance","Easy Mode","A legendary Hollywood classic starring Audrey Hepburn, with a well-known remake starring Harrison Ford."
